qa_id,question_asker_intent_understanding,question_body_critical,question_conversational,question_expect_short_answer,question_fact_seeking,question_has_commonly_accepted_answer,question_interestingness_others,question_interestingness_self,question_multi_intent,question_not_really_a_question,question_opinion_seeking,question_type_choice,question_type_compare,question_type_consequence,question_type_definition,question_type_entity,question_type_instructions,question_type_procedure,question_type_reason_explanation,question_type_spelling,question_well_written,answer_helpful,answer_level_of_information,answer_plausible,answer_relevance,answer_satisfaction,answer_type_instructions,answer_type_procedure,answer_type_reason_explanation,answer_well_written
39,0.9426077784575226,0.6329543153371066,0.09917149879747329,0.582644174393545,0.6750598441579156,0.6855054848739782,0.6488843089180573,0.6357674379127479,0.5435989923414909,0.003528843574198668,0.6970848394257119,0.574690204193485,0.026164832372868353,0.11897747689701343,0.026263769847345436,0.04857404154498019,0.17578790309498443,0.09736677890577192,0.7069581302351564,0.0007589408670748588,0.8889963045329543,0.9315795871432102,0.6157025557099501,0.9639367772000653,0.9720046174460168,0.844676527395932,0.15601027493630126,0.07865677078708669,0.8089480074079689,0.9169971788492656
46,0.8653320981787358,0.46421362223421503,0.05073056876318577,0.7395062439364488,0.7964388702590235,0.8341072514135237,0.5535022625896905,0.4626154256481019,0.11771372095609242,0.003528843574198668,0.42010563082954394,0.3897663955283033,0.026164832372868353,0.008286525598051358,0.026263769847345436,0.04857404154498019,0.7589344660551358,0.21572984638205545,0.1538720135798079,0.0007589408670748588,0.6907168262004049,0.933157164707664,0.6523406471350681,0.9647042662909833,0.9741168494549068,0.8713928441399523,0.7704557013068194,0.14769291990515604,0.15780599370910467,0.900621532773791
70,0.892543775981834,0.6147224665339704,0.05073056876318577,0.7162914523475051,0.8184193684504735,0.8341072514135237,0.6008823353021574,0.47547607920452817,0.20915610662747536,0.003528843574198668,0.3096420329694477,0.5680674774163577,0.026164832372868353,0.022332650953127878,0.026263769847345436,0.04857404154498019,0.18123079115281904,0.10413646668363305,0.6158782299193537,0.0007589408670748588,0.8377122268203929,0.9092556705977386,0.601881689985102,0.9550504804538983,0.9591151411329717,0.7881368979909391,0.1971252422702448,0.08709809732420987,0.8055366937726853,0.9031939454886239
132,0.8685795775159394,0.45343533948883763,0.05073056876318577,0.693924291281954,0.7964388702590235,0.8341072514135237,0.5464972736730175,0.448783945499613,0.11771372095609242,0.003528843574198668,0.4760761450924995,0.10029959459223542,0.026164832372868353,0.008286525598051358,0.026263769847345436,0.04857404154498019,0.7589344660551358,0.21826779048684386,0.4018558422606975,0.0007589408670748588,0.7024389108678493,0.9366255086381465,0.6705193938487934,0.9661073375430911,0.9760140608019492,0.8835892599346742,0.7704557013068194,0.17886087216920307,0.5059500105744958,0.9042061435176738
200,0.9035071386602735,0.4445673879206228,0.05073056876318577,0.7657107095115498,0.7845649160400618,0.8341072514135237,0.6322605619459458,0.6049372102158634,0.12218219217577769,0.015229985999290707,0.4457054953228402,0.3331512210825506,0.026164832372868353,0.008286525598051358,0.026263769847345436,0.04857404154498019,0.35829284794589755,0.1670289410957045,0.5360713610412806,0.0007589408670748588,0.687127991849232,0.9259883652862853,0.6760082267196609,0.9623864333181278,0.9703175074709722,0.8542707324839269,0.4701708582643462,0.1465140513211959,0.677399400513044,0.902645422382049
245,0.9324638674954068,0.7640273540838893,0.05073056876318577,0.6540180749920366,0.8236715495313072,0.8341072514135237,0.6338530932028361,0.5316359046410069,0.2827052626823275,0.003528843574198668,0.2092848473021118,0.10029959459223542,0.026164832372868353,0.008286525598051358,0.026263769847345436,0.04857404154498019,0.17578790309498443,0.1393615538778641,0.7353411682007444,0.0007589408670748588,0.8922599029587913,0.9366255086381465,0.650685931027483,0.9654527054274609,0.9743952589563628,0.8743600331897772,0.15284214000965707,0.09573130037122021,0.8464570564050715,0.9183121665203192
257,0.8675587350790575,0.5093340143308309,0.05073056876318577,0.6915318867675488,0.7964388702590235,0.8341072514135237,0.5515628574932977,0.448783945499613,0.11771372095609242,0.003528843574198668,0.466329776094524,0.10029959459223542,0.026164832372868353,0.008286525598051358,0.026263769847345436,0.04857404154498019,0.7589344660551358,0.21826779048684386,0.18548796870589462,0.0007589408670748588,0.7268382122630122,0.9366255086381465,0.6727844154349029,0.9664769620322119,0.9767535477306686,0.888165474917936,0.7644357814951318,0.1665077683472319,0.48387306319137335,0.9081943622719673
267,0.9418181805739361,0.7217634991401113,0.09917149879747329,0.767245851086793,0.7576416784221838,0.7833252935278667,0.6477280361085473,0.6506703210968812,0.11771372095609242,0.003528843574198668,0.48311621067865707,0.23994376650568672,0.026164832372868353,0.008286525598051358,0.026263769847345436,0.04857404154498019,0.17578790309498443,0.08389326023102087,0.7950605355680201,0.0007589408670748588,0.8745070975953959,0.9339209125847865,0.6890250519990421,0.9629101223863392,0.9748030634232845,0.876200402657431,0.15284214000965707,0.046817488713905606,0.8446299630126475,0.9169971788492656
284,0.863302406449439,0.4445673879206228,0.05073056876318577,0.6869126987365022,0.7964388702590235,0.8341072514135237,0.5523341859661207,0.448783945499613,0.39798135821511327,0.003528843574198668,0.45276875560915597,0.5232352432350491,0.026164832372868353,0.008286525598051358,0.026263769847345436,0.04857404154498019,0.7589344660551358,0.21826779048684386,0.19827308531073318,0.0007589408670748588,0.7107059636317913,0.9366255086381465,0.6662237487904747,0.9661073375430911,0.976348525831104,0.887619762010424,0.7644357814951318,0.16847733230736922,0.4073129920102616,0.915607515152582
292,0.9426077784575226,0.7146763461595859,0.05073056876318577,0.8389149449295472,0.8184193684504735,0.8341072514135237,0.6470049814577046,0.6120844138825352,0.11771372095609242,0.003528843574198668,0.277036797955656,0.10029959459223542,0.026164832372868353,0.008286525598051358,0.026263769847345436,0.04857404154498019,0.333096355693732,0.10069711451094585,0.6488546815117823,0.0007589408670748588,0.8616744544059931,0.9199263917376048,0.6343330979824762,0.9606363646636149,0.9691146968090272,0.8386066513577739,0.33702765215678454,0.07879430836007531,0.6686619255039686,0.9086693331008484
296,0.8652440564574017,0.5005978115282457,0.05073056876318577,0.6915318867675488,0.7863782059762867,0.8341072514135237,0.5502114435518641,0.448783945499613,0.11771372095609242,0.003528843574198668,0.44986190292177675,0.10029959459223542,0.026164832372868353,0.008286525598051358,0.026263769847345436,0.04857404154498019,0.7589344660551358,0.21826779048684386,0.15215864070059548,0.0007589408670748588,0.7022710800115637,0.9366255086381465,0.6871090320978465,0.9661073375430911,0.976348525831104,0.8841349728421861,0.7704557013068194,0.16781718859689002,0.2588024336583309,0.915607515152582
312,0.9128503901084701,0.7129015705414237,0.05073056876318577,0.7193632438787141,0.8236715495313072,0.8341072514135237,0.5917746791997192,0.4677265308661954,0.3865563086177319,0.003528843574198668,0.24054640485523535,0.5131582288785835,0.026164832372868353,0.11897747689701343,0.026263769847345436,0.04857404154498019,0.17578790309498443,0.08848250410291038,0.5576227665238731,0.0007589408670748588,0.8872843217039401,0.9366255086381465,0.6584593182625096,0.967621597906879,0.9761811121435993,0.8860642313555895,0.1591336438245844,0.06661221631813251,0.8231718495357212,0.9081943622719673
